CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,"13,090","2,889","39,435",18.77,2.9,-1.1,"52,050",2.85,2.9,"43,125","26,150.00",150,"1,334.95","1,356.45",75,14.15,"1,372.35",26.02,6,1,15
,"48,411","14,863","1,28,651",19.06,2.65,-1,"1,26,375",2.6,2.65,"73,500","26,200.00",150,"1,381.80","1,409.50",750,116.8,"1,429.85",28.69,19,10,127
,"13,688","4,552","30,491",19.37,2.35,-0.85,"66,825",2.3,2.35,"44,025","26,250.00",750,"1,415.65","1,473.20",750,-,-,-,-,-,13
,"39,852","15,239","87,329",19.71,2.15,-0.75,"64,575",2.15,2.2,"91,200","26,300.00",150,"1,484.60","1,503.25",150,19.75,"1,537.00",31.88,5,-,12
,"11,092","4,490","24,706",20.2,2.1,-0.55,"44,700",2.05,2.1,"58,275","26,350.00",750,"1,492.15","1,601.50",750,-,-,-,-,-,11
,"34,734","6,608","60,997",20.56,1.9,-0.5,"78,900",1.9,1.95,"71,325","26,400.00",750,"1,543.25","1,665.00",750,-,-,-,-,-,17
,"22,168","8,299","37,914",20.96,1.85,-0.55,"1,22,175",1.8,1.85,"66,600","26,450.00",750,"1,609.50","1,688.55",750,1.1,"1,631.65",-,4,-,12
,"1,10,787","19,430","1,76,686",21.57,1.85,-0.5,"1,53,600",1.85,1.9,"1,03,050","26,500.00",750,"1,656.20","1,731.35",750,-,-,-,-,-,228
,"16,151","3,496","16,528",21.96,1.75,-0.4,"81,450",1.7,1.75,"37,125","26,550.00",750,"1,704.80","1,788.20",750,-,-,-,-,-,10
,"21,892","9,818","46,729",22.34,1.75,-0.4,"69,600",1.7,1.75,"74,625","26,600.00",750,"1,755.60","1,840.10",750,-,-,-,-,-,12
,"6,107",324,"16,996",22.86,1.7,-0.3,"39,600",1.65,1.7,"55,425","26,650.00",750,"1,799.35","1,892.40",750,-,-,-,-,-,11
,"29,503","10,987","66,126",23.22,1.65,-0.4,"1,03,275",1.6,1.65,"2,10,225","26,700.00",750,"1,853.40","1,961.15",750,-,-,-,-,-,9
,"15,787","9,033","43,989",23.73,1.65,-0.45,"72,000",1.6,1.65,"1,06,425","26,750.00",750,"1,889.25","1,990.00",750,-,-,-,-,-,13
,"1,73,575","28,455","2,21,573",24.25,1.6,-0.35,"3,23,175",1.55,1.6,"3,30,750","26,800.00",750,"1,948.80","2,047.55",750,-,-,-,-,-,67
